state,x,y
Tibesti,-42,161
Borkou,-14,69
Ennedi,82,69
Wadi Fira,66,-16
Ouaddai,60,-56
Sila,65,-93
Salamat,48,-133
Moyen Chari,-6,-168
Mandoul,-33,-170
Guera,-2,-130
Batha,1,-59
Kanem,-90,-10
Barh El Gazel,-47,-35
Lac,-112,-54
Hadjer Lamis,-48,-84
Chari Banguirmi,-61,-118
Tandjile,-58,-147
