state,x,y
Tibesti,-55,165
Borkou,-31,76
Ennedi,70,82
Wadi Fira,46,-11
Ouaddai,44,-52
Sila,58,-89
Salamat,36,-121
Moyen Chari,-24,-160
Mandoul,-34,-191
Guera,-16,-129
Batha,-17,-45
Kanem,-104,-5
Barh El Gazel,-60,-28
Lac,-125,-48
Hadjer Lamis,-94,-79
Chari Banguirmi,-87,-109
Tandjile,-77,-165
