state,x,y
Bengo,-134,93
Benguela,-108,13
Bie,-23,-33
Cabinda,-154,187
Cuando Cubango,12,-139
North Cuanza,-108,71
South Cuanza,-117,16
Cunene,-101,-159
Huambo,-83,-42
Huila,-106,-100
Luanda,-182,76
North Lunda,16,83
South Lunda,50,29
Malanje,-58,77
Moxico,62,-36
Namibe,-173,-136
Uige,-84,139
Zaire,-142,155
