state,x,y
Lille,32,180
Paris,18,117
Orleans,-14,57
Strasbourg,123,123
Dijon,97,38
Lyon,92,-58
Toulouse,0,-159
Marseille,168,-145
Ajaccio,211,-207
Bordeaux,-70,-65
Nantes,-108,52
Rennes,-180,88
Rouen,-62,129
