state,x,y
Ladakh,-77,245
Rajasthan,-150,109
Maharashtra,-132,-30
Gujarat,-182,48
Karnataka,-135,-102
Tamil Nadu,-99,-190
Andhra Pradesh,-84,-109
Odisha,30,-14
Telangana,-70,-61
Madhya Pradesh,-91,38
Uttar Pradesh,-31,95
Bihar,63,77
Goa,-176,-99
Uttarakhand,2,163
Himachal Pradesh,-31,183
Jammu & Kashmir,-190,182
Punjab,-98,146
West Bengal,126,-9
Jharkhand,39,35
Chhattisgarh,-13,1
Tripura,152,8
Mizoram,212,19
Manipur,228,45
Nagaland,236,76
Assam,182,88
Arunachal Pradesh,265,139
