state,x,y
Lille,34,169
Paris,28,111
Orleans,4,52
Strasbourg,146,114
Dijon,105,25
Lyon,97,-66
Toulouse,18,-167
Marseille,184,-149
Ajaccio,226,-213
Bordeaux,-50,-72
Nantes,-94,48
Rennes,-166,80
Rouen,-49,124
