state,x,y
Ladakh,-70,240
Rajasthan,-136,99
Maharashtra,-115,-41
Gujarat,-168,36
Karnataka,-116,-113
Tamil Nadu,-79,-199
Andhra Pradesh,-65,-120
Odisha,45,-25
Telangana,-51,-70
Madhya Pradesh,-68,25
Uttar Pradesh,2,87
Bihar,76,68
Goa,-160,-109
Uttarakhand,-16,163
Himachal Pradesh,-48,193
Jammu & Kashmir,-97,182
Punjab,-84,139
West Bengal,121,11
Jharkhand,60,28
Chhattisgarh,2,-3
Tripura,174,33
Mizoram,198,24
Manipur,218,55
Nagaland,222,83
Assam,194,80
Arunachal Pradesh,246,137
