state,x,y
Bengo,-120,86
Benguela,-88,5
Bie,-20,-38
Cabinda,-170,191
Cuando Cubango,45,-150
North Cuanza,-92,67
South Cuanza,-90,10
Cunene,-82,-167
Huambo,-70,-51
Huila,-91,-109
Luanda,-140,72
North Lunda,38,79
South Lunda,76,24
Malanje,-45,73
Moxico,76,-45
Namibe,-161,-139
Uige,-78,133
Zaire,-133,153
